segment,nunique,day_since_last_order_mean,day_since_last_order_median,order_cnt_mean,order_cnt_median,total_order_value_mean,total_order_value_median,pct_unique_mean,pct_unique_median
01-Champion,2,11.5,11.5,27.5,27.5,4873350.0,4873350.0,7.3999999999999995,7.3999999999999995
02-Loyal Customers,20,100.45,107.0,10.25,9.5,1167123.45,597500.0,19.565,23.1
03-Potential Loyalists,14,29.214285714285715,33.0,3.7142857142857144,3.0,323214.28571428574,200000.0,16.7,18.200000000000003
05-Need Attention,1126,131.8259325044405,134.0,1.2246891651865008,1.0,192296.09236234459,150000.0,15.369094138543515,15.6
06-New Customers,59,12.305084745762711,9.0,1.0,1.0,159864.38983050847,75000.0,14.44406779661017,14.6
07-Promising,72,46.263888888888886,48.0,1.0,1.0,129625.0,50000.0,15.541666666666666,13.1
08-At Risk,21,138.76190476190476,141.0,4.0,4.0,527976.1904761905,427000.0,15.3,15.6
10-Hibernating,42,71.83333333333333,54.5,3.3333333333333335,2.0,488438.09523809527,300000.0,16.495238095238093,18.4
