Segment,Customer_Count,Mean_Days,Median_Days,Mean_Orders,Median_Orders,Mean_Value,Median_Value
At Risk,819,139.77533577533578,142.0,1.0,1.0,160726.49572649572,100000.0
Loyal Customers,125,116.968,126.0,4.712,4.0,608546.952,400000.0
Can't Lose Them,121,139.37190082644628,144.0,2.0,2.0,298614.87603305787,200000.0
About to Sleep,108,75.91666666666667,75.0,1.0,1.0,171564.8148148148,200000.0
Promising,72,46.263888888888886,48.0,1.0,1.0,129625.0,50000.0
New Customers,59,12.305084745762711,9.0,1.0,1.0,159864.38983050847,75000.0
Potential Loyalists,25,32.04,27.0,2.0,2.0,277000.0,100000.0
Need Attention,24,75.29166666666667,73.0,2.0,2.0,260625.0,100000.0
Champion,3,13.333333333333334,12.0,19.666666666666668,12.0,3398900.0,3600000.0
